period,subba,subba-name,parent,parent-name,value,value-units
2024-12-27T10,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",14942,megawatthours
2024-12-27T09,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",15344,megawatthours
2024-12-27T08,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",15498,megawatthours
2024-12-27T07,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",15836,megawatthours
2024-12-27T06,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",16022,megawatthours
2024-12-27T05,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",16152,megawatthours
2024-12-27T04,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",16528,megawatthours
2024-12-27T03,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",16894,megawatthours
2024-12-27T02,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",17419,megawatthours
2024-12-27T01,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",17798,megawatthours
2024-12-27T00,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",18088,megawatthours
2024-12-26T23,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",17998,megawatthours
2024-12-26T22,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",17457,megawatthours
2024-12-26T21,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",17444,megawatthours
2024-12-26T20,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",17584,megawatthours
2024-12-26T19,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",17680,megawatthours
2024-12-26T18,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",17707,megawatthours
2024-12-26T17,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",17627,megawatthours
2024-12-26T16,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",17416,megawatthours
2024-12-26T15,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",17007,megawatthours
2024-12-26T14,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",16531,megawatthours
2024-12-26T13,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",15766,megawatthours
2024-12-26T12,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",14762,megawatthours
2024-12-26T11,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",14041,megawatthours
2024-12-26T10,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",14234,megawatthours
2024-12-26T09,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",14108,megawatthours
2024-12-26T08,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",14212,megawatthours
2024-12-26T07,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",14431,megawatthours
2024-12-26T06,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",14826,megawatthours
2024-12-26T05,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",15287,megawatthours
2024-12-26T04,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",15486,megawatthours
2024-12-26T03,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",15542,megawatthours
2024-12-26T02,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",15797,megawatthours
2024-12-26T01,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",15995,megawatthours
2024-12-26T00,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",16168,megawatthours
2024-12-25T23,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",15936,megawatthours
2024-12-25T22,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",15420,megawatthours
2024-12-25T21,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",15295,megawatthours
2024-12-25T20,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",15400,megawatthours
2024-12-25T19,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",16090,megawatthours
2024-12-25T18,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",16336,megawatthours
